IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000037329,NA,NA,NA,NA,NA
P0000037330,71.228981544771,2,2,0,1
P0000037331,NA,NA,NA,NA,NA
P0000037332,NA,NA,NA,NA,NA
P0000037333,NA,NA,NA,NA,NA
P0000037334,NA,NA,NA,NA,NA
P0000037335,NA,NA,NA,NA,NA
P0000037336,NA,NA,NA,NA,NA
P0000037337,NA,NA,NA,NA,NA
P0000037338,NA,NA,NA,NA,NA
P0000037339,NA,NA,NA,NA,NA
P0000037340,NA,NA,NA,NA,NA
P0000037341,NA,NA,NA,NA,NA
P0000037342,NA,NA,NA,NA,NA
P0000037343,NA,NA,NA,NA,NA
P0000037344,NA,NA,NA,NA,NA
P0000037345,NA,NA,NA,NA,NA
P0000037346,63.3438140806562,5,5,4,1
P0000037347,NA,NA,NA,NA,NA
P0000037348,NA,NA,NA,NA,NA
P0000037349,NA,NA,NA,NA,NA
P0000037350,NA,NA,NA,NA,NA
P0000037351,NA,NA,NA,NA,NA
P0000037352,NA,NA,NA,NA,NA
P0000037353,NA,NA,NA,NA,NA
P0000037354,40.9022556390977,0,0,0,1
P0000037355,NA,NA,NA,NA,NA
P0000037356,NA,NA,NA,NA,NA
P0000037357,NA,NA,NA,NA,NA
P0000037358,68.1011619958988,5,5,0,1
P0000037359,NA,NA,NA,NA,NA
P0000037360,NA,NA,NA,NA,NA
P0000037361,47.6281613123718,0,0,0,1
P0000037362,NA,NA,NA,NA,NA
P0000037363,NA,NA,NA,NA,NA
P0000037364,NA,NA,NA,NA,NA
P0000037365,NA,NA,NA,NA,NA
P0000037366,NA,NA,NA,NA,NA
P0000037367,NA,NA,NA,NA,NA
P0000037368,NA,NA,NA,NA,NA
P0000037369,86.0369104579631,0,0,0,1
P0000037370,NA,NA,NA,NA,NA
P0000037371,NA,NA,NA,NA,NA
P0000037372,NA,NA,NA,NA,NA
P0000037373,NA,NA,NA,NA,NA
P0000037374,NA,NA,NA,NA,NA
P0000037375,NA,NA,NA,NA,NA
P0000037376,NA,NA,NA,NA,NA
P0000037377,NA,NA,NA,NA,NA
P0000037378,NA,NA,NA,NA,NA
P0000037378,NA,NA,NA,NA,NA
P0000037378,NA,NA,NA,NA,NA
P0000037378,NA,NA,NA,NA,NA
P0000037379,NA,NA,NA,NA,NA
P0000037381,68.8557758031442,7,5,9,1
P0000037382,NA,NA,NA,NA,NA
P0000037383,NA,NA,NA,NA,NA
P0000037384,3.63636363636364,0,0,0,1
P0000037385,NA,NA,NA,NA,NA
P0000037386,37.2385509227614,5,3,6,1
P0000037387,NA,NA,NA,NA,NA
P0000037388,4.35543403964457,0,0,0,1
P0000037389,NA,NA,NA,NA,NA
P0000037390,NA,NA,NA,NA,NA
P0000037391,NA,NA,NA,NA,NA
P0000037392,1.24948735475051,0,0,0,1
P0000037393,NA,NA,NA,NA,NA
P0000037394,NA,NA,NA,NA,NA
P0000037395,83.0649350649351,6,4,11,1
P0000037396,NA,NA,NA,NA,NA
P0000037397,NA,NA,NA,NA,NA
P0000037398,0.967874231032126,0,0,0,1
P0000037399,NA,NA,NA,NA,NA
P0000037400,NA,NA,NA,NA,NA
P0000037401,NA,NA,NA,NA,NA
P0000037402,61.2112098427888,3,2,11,1
P0000037403,NA,NA,NA,NA,NA
P0000037404,NA,NA,NA,NA,NA
P0000037405,27.6992481203008,0,0,0,1
P0000037406,7.42857142857143,0,0,0,1
P0000037407,47.1660970608339,6,5,0,1
P0000037408,74.4497607655502,4,2,0,1
P0000037409,56.3116883116883,7,6,27,1
P0000037410,NA,NA,NA,NA,NA
P0000037411,NA,NA,NA,NA,NA
P0000037412,0.489405331510595,0,0,0,1
P0000037413,NA,NA,NA,NA,NA
P0000037414,NA,NA,NA,NA,NA
P0000037415,0,0,0,0,1
P0000037416,NA,NA,NA,NA,NA
P0000037417,NA,NA,NA,NA,NA
P0000037418,68.1066302118934,11,6,25,1
P0000037419,NA,NA,NA,NA,NA
P0000037420,7.17976760082023,0,0,0,1
P0000037421,NA,NA,NA,NA,NA
P0000037422,NA,NA,NA,NA,NA
P0000037423,NA,NA,NA,NA,NA
P0000037424,41.1455912508544,3,1,0,1
P0000037425,NA,NA,NA,NA,NA
P0000037426,NA,NA,NA,NA,NA
P0000037428,NA,NA,NA,NA,NA
P0000037429,5.02802460697198,0,0,0,1
P0000037430,NA,NA,NA,NA,NA
P0000037431,9.79904306220096,0,0,0,1
P0000037432,NA,NA,NA,NA,NA
P0000037433,NA,NA,NA,NA,NA
P0000037434,NA,NA,NA,NA,NA
P0000037435,NA,NA,NA,NA,NA
P0000037436,51.3574846206425,6,2,12,1
P0000037437,NA,NA,NA,NA,NA
P0000037438,NA,NA,NA,NA,NA
P0000037438,NA,NA,NA,NA,NA
P0000037438,NA,NA,NA,NA,NA
P0000037438,NA,NA,NA,NA,NA
P0000037444,64.3827751196172,13,6,19,1
P0000037445,0.568694463431306,0,0,0,1
P0000037446,NA,NA,NA,NA,NA
P0000037447,0.0984278879015721,0,0,0,1
P0000037448,2.57006151742994,0,0,0,1
P0000037449,0.303485987696514,0,0,0,1
P0000037450,22.5044429254956,0,0,0,1
P0000037451,0.735475051264525,0,0,0,1
P0000037452,89.768967874231,12,6,14,1
P0000037454,27.7211209842789,2,1,0,1
P0000037455,44.1995898838004,13,6,19,1
P0000037456,4.73820915926179,0,0,0,1
P0000037457,84.7874231032126,14,9,21,1
P0000037458,NA,NA,NA,NA,NA
P0000037459,59.1059466848941,4,3,5,1
P0000037460,81.5283663704716,6,6,16,1
P0000037461,51.2344497607655,7,4,21,1
P0000037462,NA,NA,NA,NA,NA
P0000037463,NA,NA,NA,NA,NA
P0000037464,NA,NA,NA,NA,NA
P0000037465,NA,NA,NA,NA,NA
P0000037466,NA,NA,NA,NA,NA
P0000037467,NA,NA,NA,NA,NA
P0000037468,NA,NA,NA,NA,NA
P0000037469,NA,NA,NA,NA,NA
P0000037470,NA,NA,NA,NA,NA
P0000037471,NA,NA,NA,NA,NA
P0000037472,NA,NA,NA,NA,NA
P0000037473,NA,NA,NA,NA,NA
P0000037474,NA,NA,NA,NA,NA
P0000037475,NA,NA,NA,NA,NA
P0000037476,61.1155160628845,2,2,0,1
P0000037477,NA,NA,NA,NA,NA
P0000037478,NA,NA,NA,NA,NA
P0000037479,NA,NA,NA,NA,NA
P0000037480,NA,NA,NA,NA,NA
P0000037481,NA,NA,NA,NA,NA
P0000037482,NA,NA,NA,NA,NA
P0000037483,NA,NA,NA,NA,NA
P0000037484,NA,NA,NA,NA,NA
P0000037485,NA,NA,NA,NA,NA
P0000037486,NA,NA,NA,NA,NA
P0000037487,NA,NA,NA,NA,NA
P0000037488,NA,NA,NA,NA,NA
P0000037489,NA,NA,NA,NA,NA
P0000037490,NA,NA,NA,NA,NA
P0000037491,NA,NA,NA,NA,NA
P0000037492,NA,NA,NA,NA,NA
P0000037493,NA,NA,NA,NA,NA
P0000037494,NA,NA,NA,NA,NA
P0000037495,NA,NA,NA,NA,NA
P0000037496,NA,NA,NA,NA,NA
P0000037497,28.1148325358852,0,0,0,1
P0000037498,NA,NA,NA,NA,NA
P0000037499,NA,NA,NA,NA,NA
P0000037500,NA,NA,NA,NA,NA
P0000037501,NA,NA,NA,NA,NA
P0000037502,NA,NA,NA,NA,NA
P0000037503,91.352016404648,1,1,2,1
P0000037505,NA,NA,NA,NA,NA
P0000037506,NA,NA,NA,NA,NA
P0000037507,NA,NA,NA,NA,NA
P0000037508,NA,NA,NA,NA,NA
P0000037509,NA,NA,NA,NA,NA
P0000037510,NA,NA,NA,NA,NA
P0000037511,NA,NA,NA,NA,NA
P0000037512,NA,NA,NA,NA,NA
P0000037513,NA,NA,NA,NA,NA
P0000037514,NA,NA,NA,NA,NA
P0000037515,NA,NA,NA,NA,NA
P0000037516,NA,NA,NA,NA,NA
P0000037517,NA,NA,NA,NA,NA
P0000037518,NA,NA,NA,NA,NA
P0000037519,NA,NA,NA,NA,NA
P0000037520,NA,NA,NA,NA,NA
P0000037521,NA,NA,NA,NA,NA
P0000037522,47.2590567327409,0,0,0,1
P0000037523,66.7696514012303,2,2,0,1
P0000037524,NA,NA,NA,NA,NA
P0000037525,NA,NA,NA,NA,NA
P0000037526,NA,NA,NA,NA,NA
P0000037527,NA,NA,NA,NA,NA
P0000037528,NA,NA,NA,NA,NA
P0000037529,NA,NA,NA,NA,NA
P0000037530,NA,NA,NA,NA,NA
P0000037531,NA,NA,NA,NA,NA
P0000037532,NA,NA,NA,NA,NA
P0000037533,NA,NA,NA,NA,NA
P0000037534,NA,NA,NA,NA,NA
P0000037535,NA,NA,NA,NA,NA
P0000037536,NA,NA,NA,NA,NA
P0000037537,NA,NA,NA,NA,NA
P0000037538,NA,NA,NA,NA,NA
P0000037539,NA,NA,NA,NA,NA
P0000037540,NA,NA,NA,NA,NA
